Category,Icon,Location,Refined_KR,Refined_EN,Original
Elevator Activity,🛗,,엘리베이터 탑승 (매봉 방면),Enter Elevator (매봉 Bound for),매봉 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (명동 방면),Enter Elevator (명동 Bound for),명동 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (명일 방면),Enter Elevator (명일 Bound for),명일 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (모란 방면),Enter Elevator (모란 Bound for),모란 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (목동 방면),Enter Elevator (목동 Bound for),목동 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (문래 방면),Enter Elevator (문래 Bound for),문래 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (미사 방면),Enter Elevator (미사 Bound for),미사 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (미아 방면),Enter Elevator (미아 Bound for),미아 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (미아사거리 방면),Enter Elevator (미아사거리 Bound for),미아사거리 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (반포 방면),Enter Elevator (반포 Bound for),반포 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (발산 방면),Enter Elevator (발산 Bound for),발산 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (방이 방면),Enter Elevator (방이 Bound for),방이 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (보라매 방면),Enter Elevator (보라매 Bound for),보라매 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (보문 방면),Enter Elevator (보문 Bound for),보문 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (봉화산 방면),Enter Elevator (봉화산 Bound for),봉화산 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (삼각지 방면),Enter Elevator (삼각지 Bound for),삼각지 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (상도 방면),Enter Elevator (상도 Bound for),상도 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (상왕십리 방면),Enter Elevator (상왕십리 Bound for),상왕십리 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (상월곡 방면),Enter Elevator (상월곡 Bound for),상월곡 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (상일동 방면),Enter Elevator (상일동 Bound for),상일동 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (새절 방면),Enter Elevator (새절 Bound for),새절 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (서울 방면),Enter Elevator (서울 Bound for),서울역 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (석계 방면),Enter Elevator (석계 Bound for),석계 방면 엘리베이터 탑승
Move,🚶,,이동 (성수방면 승강장),Move (성수Bound for 승강장),성수방면 승강장 이동
Elevator Activity,🛗,,엘리베이터 탑승 (송정 방면),Enter Elevator (송정 Bound for),송정 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (수유 방면),Enter Elevator (수유 Bound for),수유 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (수인분당선 승강장 방향),Enter Elevator (수인분당선 승강장 방향),수인분당선 승강장 방향 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (수진 방면),Enter Elevator (수진 Bound for),수진 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (숙대입구 방면),Enter Elevator (숙대입구 Bound for),숙대입구 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (숭실대입구 방면),Enter Elevator (숭실대입구 Bound for),숭실대입구 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (숭실대입구 방면),Enter Elevator (숭실대입구 Bound for),숭실대입구역 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (승강장 방향 내부),Enter Elevator (승강장 방향 내부),승강장 방향 내부엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (승강장 방향 중앙),Enter Elevator (승강장 방향 중앙),승강장 방향 중앙 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (승강장방향),Enter Elevator (승강장방향),승강장방향 엘리베이터 탑승
Subway Activity,🚉,,승차 ((휠체어 칸)),Board ((휠체어 칸)),승차(휠체어 칸)
Elevator Activity,🛗,,엘리베이터 탑승 (신금호 방면),Enter Elevator (신금호 Bound for),신금호 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (신길 방면),Enter Elevator (신길 Bound for),신길 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (신내 방면),Enter Elevator (신내 Bound for),신내 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (신당 방면),Enter Elevator (신당 Bound for),신당 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (신대방삼거리 방면),Enter Elevator (신대방삼거리 Bound for),신대방삼거리 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (신도림 방면),Enter Elevator (신도림 Bound for),신도림 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (신림 방면),Enter Elevator (신림 Bound for),신림 방면 엘리베이터 탑승
Move,🚶,,이동 (신림선 대합실로),Move (신림선 대합실로),신림선 대합실로 이동
Gate,🎫,,게이트 통과 (신분당선 대합실 표 내는 곳),Pass Gate (신분당선 대합실 표 내는 곳),신분당선 대합실 표 내는 곳 통과
Elevator Activity,🛗,,엘리베이터 탑승 (신사 방면),Enter Elevator (신사 Bound for),신사 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (신용산 방면),Enter Elevator (신용산 Bound for),신용산 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (신정 방면),Enter Elevator (신정 Bound for),신정 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (신풍 방면),Enter Elevator (신풍 Bound for),신풍 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (신흥 방면),Enter Elevator (신흥 Bound for),신흥 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (아차산 방면),Enter Elevator (아차산 Bound for),아차산 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (안암 방면),Enter Elevator (안암 Bound for),안암 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (압구정 방면),Enter Elevator (압구정 Bound for),압구정 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (약수 방면),Enter Elevator (약수 Bound for),약수 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (양재 방면),Enter Elevator (양재 Bound for),양재 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (양평 방면),Enter Elevator (양평 Bound for),양평 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (어린이대공원 방면 승강장),Enter Elevator (어린이대공원 Bound for 승강장),어린이대공원 방면 승강장 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (여의도 방면),Enter Elevator (여의도 Bound for),여의도 방면 엘리베이터 탑승
Subway Activity,🚉,,승차 (연신내 방면 승강장 방향 휠체어리프트),Board (연신내 Bound for 승강장 방향 휠체어리프트),연신내 방면 승강장 방향 휠체어리프트 탑승
Subway Activity,🚉,,승차 (열차),Board (열차),열차승차
Elevator Activity,🛗,,엘리베이터 탑승 (영등포구청 방면),Enter Elevator (영등포구청 Bound for),영등포구청 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (영등포시장 방면),Enter Elevator (영등포시장 Bound for),영등포시장 방면 엘리베이터 탑승
Unknown,?,,오른쪽 무빙워크통로 이용 후 왼쪽으로 유턴,오른쪽 무빙워크통로 이용 후 왼쪽으로 유턴,오른쪽 무빙워크통로 이용 후 왼쪽으로 유턴
Elevator Activity,🛗,,엘리베이터 탑승 (오목교 방면),Enter Elevator (오목교 Bound for),오목교 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (옥수 방면),Enter Elevator (옥수 Bound for),옥수 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (온수 방면),Enter Elevator (온수 Bound for),온수 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (올림픽공원 방면),Enter Elevator (올림픽공원 Bound for),올림픽공원 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (왕십리 방면),Enter Elevator (왕십리 Bound for),왕십리 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (용산 방향),Enter Elevator (용산 방향),용산역 방향 엘리베이터 탑승
Gate,🎫,,게이트 통과 (우대자용 개집표기 호출버튼 눌러 요청(비운임구 진입)),Pass Gate (우대자용 개집표기 호출버튼 눌러 요청(비운임구 진입)),우대자용 개집표기에서 호출버튼 눌러 통과 요청(비운임구역 진입)
Move,🚶,,이동 (우이신설선 방향 환승통로로),Move (우이신설선 방향 환승통로로),우이신설선 방향 환승통로로 이동
Elevator Activity,🛗,,엘리베이터 탑승 (우장산 방면),Enter Elevator (우장산 Bound for),우장산 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (운서 방면),Enter Elevator (운서 Bound for),운서 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (월곡 방면),Enter Elevator (월곡 Bound for),월곡 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (월드컵경기장 방면),Enter Elevator (월드컵경기장 Bound for),월드컵경기장 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (을지로4가 방면),Enter Elevator (을지로4가 Bound for),을지로4가 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (을지로입구 방면),Enter Elevator (을지로입구 Bound for),을지로입구 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (응암 방면),Enter Elevator (응암 Bound for),응암 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (통로 방향),Enter Elevator (통로 방향),이동통로 방향 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (이수 방면),Enter Elevator (이수 Bound for),이수 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (이수 방면),Enter Elevator (이수 Bound for),이수역 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (이촌 방면),Enter Elevator (이촌 Bound for),이촌 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (인천1호선 귤현 방면),Enter Elevator (인천1Line  귤현 Bound for),인천1호선 귤현 방면 엘리베이터 탑승
Move,🚶,,이동 (인천2호선 방향 환승통로로),Move (인천2Line  방향 환승통로로),인천2호선 방향 환승통로로 이동
Elevator Activity,🛗,,엘리베이터 탑승 (인천공항1터미널 방면),Enter Elevator (인천공항1터미널 Bound for),인천공항1터미널 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (잠실새내 방면),Enter Elevator (잠실새내 Bound for),잠실새내 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (잠원 방면),Enter Elevator (잠원 Bound for),잠원 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (장승배기 방면),Enter Elevator (장승배기 Bound for),장승배기 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (제기동 방면),Enter Elevator (제기동 Bound for),제기동 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (종각 방면),Enter Elevator (종각 Bound for),종각 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (종로3가 방면),Enter Elevator (종로3가 Bound for),종로3가 방면 엘리베이터 탑승
Unknown,?,,종로5가 방면 엘리베이터 이용,종로5가 방면 엘리베이터 이용,종로5가 방면 엘리베이터 이용
Elevator Activity,🛗,,엘리베이터 탑승 (종로5가 방면),Enter Elevator (종로5가 Bound for),종로5가 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (종합운동장 방면),Enter Elevator (종합운동장 Bound for),종합운동장 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (증산 방면),Enter Elevator (증산 Bound for),증산 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (지상 1층 경의중앙선 서빙고 방면),Enter Elevator (지상 1층 경의중앙선 서빙고 Bound for),지상 1층 경의중앙선 서빙고 방면 엘리베이터 탑승
Subway Activity,🚉,,하차 (지하 3층 승강장),Alight (지하 3층 승강장),지하 3층 승강장 에서 하차
Elevator Activity,🛗,,엘리베이터 탑승 (지하1층),Enter Elevator (지하1층),지하1층 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (지하3층),Enter Elevator (지하3층),지하3층 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (창동 방면),Enter Elevator (창동 Bound for),창동 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (천왕 방면),Enter Elevator (천왕 Bound for),천왕 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (천호 방면),Enter Elevator (천호 Bound for),천호 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (청담 방면),Enter Elevator (청담 Bound for),청담 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (청라국제도시 방면),Enter Elevator (청라국제도시 Bound for),청라국제도시 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (청량리 방면),Enter Elevator (청량리 Bound for),청량리 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (태릉입구 방면),Enter Elevator (태릉입구 Bound for),태릉입구 방면 엘리베이터 탑승
Subway Activity,🚉,,승차 (표 내는 곳),Board (표 내는 곳),표 내는 곳 통과탑승
Elevator Activity,🛗,,엘리베이터 탑승 (표 내는 곳을 하여 강일 방면),Enter Elevator (표 내는 곳을 하여 강일 Bound for),표 내는 곳을 통과하여 강일 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (표 내는 곳을 하여 고덕 방면),Enter Elevator (표 내는 곳을 하여 고덕 Bound for),표 내는 곳을 통과하여 고덕 방면 엘리베이터 탑승
Gate,🎫,,게이트 통과 (표내는곳),Pass Gate (표내는곳),표내는곳 통과
Elevator Activity,🛗,,엘리베이터 탑승 (하남검단산 방면),Enter Elevator (하남검단산 Bound for),하남검단산 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (하남시청 방면),Enter Elevator (하남시청 Bound for),하남시청 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (하남풍산 방면),Enter Elevator (하남풍산 Bound for),하남풍산 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (학동 방면),Enter Elevator (학동 Bound for),학동 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (한성대입구 방면),Enter Elevator (한성대입구 Bound for),한성대입구 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (한양대 방면),Enter Elevator (한양대 Bound for),한양대 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (합정 방면),Enter Elevator (합정 Bound for),합정 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (행당 방면),Enter Elevator (행당 Bound for),행당 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (홍대입구 방면),Enter Elevator (홍대입구 Bound for),홍대입구 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (홍제 방면),Enter Elevator (홍제 Bound for),홍제 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (화곡 방면),Enter Elevator (화곡 Bound for),화곡 방면 엘리베이터 탑승
Elevator Activity,🛗,,엘리베이터 탑승 (화랑대 방면),Enter Elevator (화랑대 Bound for),화랑대 방면 엘리베이터 탑승
Gate,🎫,,게이트 통과 (효창공원앞 방면 앞 표 내는 곳),Pass Gate (효창공원앞 Bound for 앞 표 내는 곳),효창공원앞 방면 엘리베이터 앞 표 내는 곳 통과
Gate,🎫,,게이트 통과 (휠체어 비상 이용해 외부로 나감),Pass Gate (휠체어 비상 이용해 외부로 나감),휠체어 비상게이트 이용해 외부로 나감
Subway Activity,🚉,,승차 (휠체어리프트),Board (휠체어리프트),휠체어리프트 탑승
Move,🚶,1F,이동 (1호선 구로 방면 승강장으로),Move (1Line  구로 Bound for 승강장으로),(1F) 1호선 구로 방면 승강장으로 이동
Move,🚶,1F,이동 (경의중앙선 서빙고 방면 승강장으로),Move (경의중앙선 서빙고 Bound for 승강장으로),(1F) 경의중앙선 서빙고 방면 승강장으로 이동
Move,🚶,1F,이동 (경의중앙선 응봉 방면 승강장으로),Move (경의중앙선 응봉 Bound for 승강장으로),(1F) 경의중앙선 응봉 방면 승강장으로 이동
Move,🚶,1F,이동 (경의중앙선 청량리 방면 승강장으로),Move (경의중앙선 청량리 Bound for 승강장으로),(1F) 경의중앙선 청량리 방면 승강장으로 이동
Move,🚶,1F,이동 (뚝섬 방면 승강장으로),Move (뚝섬 Bound for 승강장으로),(1F) 뚝섬 방면 승강장으로 이동
Move,🚶,1F,이동 (봉화산 방면 승강장으로),Move (봉화산 Bound for 승강장으로),(1F) 봉화산 방면 승강장으로 이동
Move,🚶,1F,이동 (수인분당선 서울숲 방면 승강장으로),Move (수인분당선 서울숲 Bound for 승강장으로),(1F) 수인분당선 서울숲 방면 승강장으로 이동
Move,🚶,1F,이동 (수인분당선 청량리 방면 승강장으로),Move (수인분당선 청량리 Bound for 승강장으로),(1F) 수인분당선 청량리 방면 승강장으로 이동
Move,🚶,1F,이동 (왕십리 방면 승강장으로),Move (왕십리 Bound for 승강장으로),(1F) 왕십리 방면 승강장으로 이동
Move,🚶,2F,이동 (운서 방면 승강장으로),Move (운서 Bound for 승강장으로),(2F) 운서 방면 승강장으로 이동
Move,🚶,2F,이동 (인천1호선 귤현 방면 승강장으로),Move (인천1Line  귤현 Bound for 승강장으로),(2F) 인천1호선 귤현 방면 승강장으로 이동
Move,🚶,2F,이동 (청라국제도시 방면 승강장으로),Move (청라국제도시 Bound for 승강장으로),(2F) 청라국제도시 방면 승강장으로 이동
Move,🚶,3F,이동 (2호선 건대입구 방면 승강장으로),Move (2Line  건대입구 Bound for 승강장으로),(3F) 2호선 건대입구 방면 승강장으로 이동
Move,🚶,3F,이동 (2호선 용답 방면 승강장으로),Move (2Line  용답 Bound for 승강장으로),(3F) 2호선 용답 방면 승강장으로 이동
Move,🚶,3F,이동 (강변 방면 승강장으로),Move (강변 Bound for 승강장으로),(3F) 강변 방면 승강장으로 이동
Move,🚶,3F,이동 (경춘선 갈매 방면 승강장으로),Move (경춘선 갈매 Bound for 승강장으로),(3F) 경춘선 갈매 방면 승강장으로 이동
Move,🚶,3F,이동 (경춘선 망우 방면 승강장으로),Move (경춘선 망우 Bound for 승강장으로),(3F) 경춘선 망우 방면 승강장으로 이동
Move,🚶,3F,이동 (구로디지털단지 방면 승강장으로),Move (구로디지털단지 Bound for 승강장으로),(3F) 구로디지털단지 방면 승강장으로 이동
Move,🚶,3F,이동 (대림 방면 승강장으로),Move (대림 Bound for 승강장으로),(3F) 대림 방면 승강장으로 이동
Move,🚶,3F,이동 (뚝섬 방면 승강장으로),Move (뚝섬 Bound for 승강장으로),(3F) 뚝섬 방면 승강장으로 이동
Move,🚶,3F,이동 (성수 방면 승강장으로),Move (성수 Bound for 승강장으로),(3F) 성수 방면 승강장으로 이동
Move,🚶,3F,이동 (신대방 방면 승강장으로),Move (신대방 Bound for 승강장으로),(3F) 신대방 방면 승강장으로 이동
Move,🚶,3F,이동 (신도림 방면 승강장으로),Move (신도림 Bound for 승강장으로),(3F) 신도림 방면 승강장으로 이동
Move,🚶,3F,이동 (신림 방면 승강장으로),Move (신림 Bound for 승강장으로),(3F) 신림 방면 승강장으로 이동
Move,🚶,3F,이동 (영등포구청 방면 승강장으로),Move (영등포구청 Bound for 승강장으로),(3F) 영등포구청 방면 승강장으로 이동
Move,🚶,3F,이동 (청담 방면 승강장으로),Move (청담 Bound for 승강장으로),(3F) 청담 방면 승강장으로 이동
Move,🚶,3F,이동 (한양대 방면 승강장으로),Move (한양대 Bound for 승강장으로),(3F) 한양대 방면 승강장으로 이동
Move,🚶,3F,이동 (합정 방면 승강장으로),Move (합정 Bound for 승강장으로),(3F) 합정 방면 승강장으로 이동
Move,🚶,4F,이동 (금호 방면 승강장으로),Move (금호 Bound for 승강장으로),(4F) 금호 방면 승강장으로 이동
Move,🚶,4F,이동 (압구정 방면 승강장으로),Move (압구정 Bound for 승강장으로),(4F) 압구정 방면 승강장으로 이동
Move,🚶,B1,이동 (13번 출구로),Move (13번 Exit로),(B1) 13번 출구로 이동
Move,🚶,B1,이동 (1호선 대합실로),Move (1Line  대합실로),(B1) 1호선 대합실로 이동
Move,🚶,B1,이동 (1호선 동대문 방면 승강장으로),Move (1Line  동대문 Bound for 승강장으로),(B1) 1호선 동대문 방면 승강장으로 이동
Move,🚶,B1,이동 (1호선 신설동 방면 승강장으로),Move (1Line  신설동 Bound for 승강장으로),(B1) 1호선 신설동 방면 승강장으로 이동
Elevator Activity,🛗,B1,엘리베이터 탑승 (2호선 당산방면),Enter Elevator (2Line  당산Bound for),(B1) 2호선 당산방면 엘리베이터 탑승
Elevator Activity,🛗,B1,엘리베이터 탑승 (2호선 문래방면),Enter Elevator (2Line  문래Bound for),(B1) 2호선 문래방면 엘리베이터 탑승
Move,🚶,B1,이동 (경의중앙선 가좌 방면 승강장으로),Move (경의중앙선 가좌 Bound for 승강장으로),(B1) 경의중앙선 가좌 방면 승강장으로 이동
Move,🚶,B1,이동 (경의중앙선 서강대 방면 승강장으로),Move (경의중앙선 서강대 Bound for 승강장으로),(B1) 경의중앙선 서강대 방면 승강장으로 이동
Move,🚶,B1,이동 (공항철도 환승통로로),Move (공항철도 환승통로로),(B1) 공항철도 환승통로로 이동
Move,🚶,B2,이동 (표 내는 곳 후 7호선 어린이 대공원 방면 승강장),Move (표 내는 곳 후 7Line  어린이 대공원 Bound for 승강장),(B2)  표 내는 곳 통과 후 7호선 어린이 대공원 방면 승강장 이동
Move,🚶,B2,이동 (표 내는 곳 후 7호선 어린이대공원 방면 로),Move (표 내는 곳 후 7Line  어린이대공원 Bound for 로),(B2)  표 내는 곳 통과 후 7호선 어린이대공원 방면 엘리베이터 로 이동
Move,🚶,B2,이동 (2호선 당산 방면 승강장으로),Move (2Line  당산 Bound for 승강장으로),(B2) 2호선 당산 방면 승강장으로 이동
Move,🚶,B2,이동 (2호선 홍대입구 방면 승강장으로),Move (2Line  홍대입구 Bound for 승강장으로),(B2) 2호선 홍대입구 방면 승강장으로 이동
Move,🚶,B2,이동 (3호선 구파발 방면 승강장으로),Move (3Line  구파발 Bound for 승강장으로),(B2) 3호선 구파발 방면 승강장으로 이동
Move,🚶,B2,이동 (3호선 녹번 방면 승강장으로),Move (3Line  녹번 Bound for 승강장으로),(B2) 3호선 녹번 방면 승강장으로 이동
Move,🚶,B2,이동 (3호선 대합실로),Move (3Line  대합실로),(B2) 3호선 대합실로 이동
Move,🚶,B2,이동 (3호선 불광 방면 승강장으로),Move (3Line  불광 Bound for 승강장으로),(B2) 3호선 불광 방면 승강장으로 이동
Move,🚶,B2,이동 (3호선 연신내 방면 승강장으로),Move (3Line  연신내 Bound for 승강장으로),(B2) 3호선 연신내 방면 승강장으로 이동
Move,🚶,B2,이동 (4호선 신용산 방면 승강장으로),Move (4Line  신용산 Bound for 승강장으로),(B2) 4호선 신용산 방면 승강장으로 이동
Move,🚶,B2,이동 (5호선 개화산 방면 승강장으로),Move (5Line  개화산 Bound for 승강장으로),(B2) 5호선 개화산 방면 승강장으로 이동
Move,🚶,B2,이동 (5호선 송정 방면 승강장으로),Move (5Line  송정 Bound for 승강장으로),(B2) 5호선 송정 방면 승강장으로 이동
Move,🚶,B2,이동 (6호선 신당 방면 승강장으로),Move (6Line  신당 Bound for 승강장으로),(B2) 6호선 신당 방면 승강장으로 이동
Move,🚶,B2,이동 (6호선 약수 방면 승강장으로),Move (6Line  약수 Bound for 승강장으로),(B2) 6호선 약수 방면 승강장으로 이동
Move,🚶,B2,이동 (가산디지털단지 방면 승강장으로),Move (가산디지털단지 Bound for 승강장으로),(B2) 가산디지털단지 방면 승강장으로 이동
Move,🚶,B2,이동 (강동 방면 승강장으로),Move (강동 Bound for 승강장으로),(B2) 강동 방면 승강장으로 이동
Move,🚶,B2,이동 (강일 방면 승강장으로),Move (강일 Bound for 승강장으로),(B2) 강일 방면 승강장으로 이동
Move,🚶,B2,이동 (개롱 방면 승강장으로),Move (개롱 Bound for 승강장으로),(B2) 개롱 방면 승강장으로 이동
Move,🚶,B2,이동 (개화산 방면 승강장으로),Move (개화산 Bound for 승강장으로),(B2) 개화산 방면 승강장으로 이동
Move,🚶,B2,이동 (거여 방면 승강장으로),Move (거여 Bound for 승강장으로),(B2) 거여 방면 승강장으로 이동
Move,🚶,B2,이동 (경의중앙선 서강대 방면 승강장으로),Move (경의중앙선 서강대 Bound for 승강장으로),(B2) 경의중앙선 서강대 방면 승강장으로 이동
Move,🚶,B2,이동 (경의중앙선 효창공원앞 방면 승강장으로),Move (경의중앙선 효창공원앞 Bound for 승강장으로),(B2) 경의중앙선 효창공원앞 방면 승강장으로 이동
Move,🚶,B2,이동 (고덕 방면 승강장으로),Move (고덕 Bound for 승강장으로),(B2) 고덕 방면 승강장으로 이동
Move,🚶,B2,이동 (고속터미널 방면 승강장으로),Move (고속터미널 Bound for 승강장으로),(B2) 고속터미널 방면 승강장으로 이동
Move,🚶,B2,이동 (광명사거리 방면 승강장으로),Move (광명사거리 Bound for 승강장으로),(B2) 광명사거리 방면 승강장으로 이동
Move,🚶,B2,이동 (굽은다리 방면 승강장으로),Move (굽은다리 Bound for 승강장으로),(B2) 굽은다리 방면 승강장으로 이동
Move,🚶,B2,이동 (금호 방면 승강장으로),Move (금호 Bound for 승강장으로),(B2) 금호 방면 승강장으로 이동
Move,🚶,B2,이동 (길동 방면 승강장으로),Move (길동 Bound for 승강장으로),(B2) 길동 방면 승강장으로 이동
Move,🚶,B2,이동 (길음 방면 승강장으로),Move (길음 Bound for 승강장으로),(B2) 길음 방면 승강장으로 이동
Move,🚶,B2,이동 (까치산 방면 승강장으로),Move (까치산 Bound for 승강장으로),(B2) 까치산 방면 승강장으로 이동
Move,🚶,B2,이동 (까치울 방면 승강장으로),Move (까치울 Bound for 승강장으로),(B2) 까치울 방면 승강장으로 이동
Move,🚶,B2,이동 (남구로 방면 승강장으로),Move (남구로 Bound for 승강장으로),(B2) 남구로 방면 승강장으로 이동
Move,🚶,B2,이동 (남부터미널 방면 승강장으로),Move (남부터미널 Bound for 승강장으로),(B2) 남부터미널 방면 승강장으로 이동
Move,🚶,B2,이동 (단대오거리 방면 승강장으로),Move (단대오거리 Bound for 승강장으로),(B2) 단대오거리 방면 승강장으로 이동
Move,🚶,B2,이동 (당산 방면 승강장으로),Move (당산 Bound for 승강장으로),(B2) 당산 방면 승강장으로 이동
